User ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37
User_1,Forte préférence pour le travail d'équipe,Solutions créatives,Idées abstraites,Importante,Neutre,Je déteste,Forte préférence pour les tâches techniques,Neutre,Pas du tout importante,J'aime bien,Neutre,J'aime bien,Très bien,Passionné,Je n'aime pas,Neutre,Peu importante,Bien,Très importante,Je déteste,Peu importante,J'adore ça,Pas du tout importante,J'aime bien,Très importante,"Peindre, dessiner ou autres arts visuels, Cuisiner ou faire de la pâtisserie, Jouer de la musique ou composer, Designer (graphique, mode, intérieur, etc.), Coder ou programmer","Arts (Visuels, Musique, Théâtre), Langues Étrangères, Littérature/Philosophie, Physique-Chimie, Mathématiques, Histoire/Géographie, Sciences de l'Ingénieur, Informatique, Économie/Sciences Sociales, Biologie/Sciences de la Terre",Santé-Médecine,"Extérieur ou pratique (ex: travail de terrain, construction)",Aider les autres ou avoir un impact social,Par des projets créatifs et l'expression personnelle,Je veux aider les gens via la santé ou le travail social,5 000€ - 10 000€,Plus de 5 ans,"Nîmes, Lyon",Peu intéressé,"Coût des études, Services d'accompagnement professionnel"
User_2,Préférence pour l'indépendance,Solutions créatives,Ni l'un ni l'autre,Importante,Neutre,J'aime bien,Forte préférence pour les tâches techniques,Bien,Importante,J'aime bien,Importante,J'aime bien,Mal,Pas du tout passionné,Neutre,Très mal,Importante,Neutre,Pas du tout importante,J'aime bien,Pas du tout importante,Je déteste,Importante,Neutre,Pas du tout importante,"Faire du bénévolat ou du service communautaire, Regarder des documentaires ou des vidéos éducatives, Faire du sport ou des activités de plein air, Apprendre de nouvelles compétences ou langues, Cuisiner ou faire de la pâtisserie","Histoire/Géographie, Littérature/Philosophie, Mathématiques, Informatique, Économie/Sciences Sociales, Physique-Chimie, Sciences de l'Ingénieur, Arts (Visuels, Musique, Théâtre), Biologie/Sciences de la Terre, Langues Étrangères",Technologie-IT,"Social et collaboratif (ex: ONG, éducation)","Atteindre le succès financier ou la reconnaissance, Aider les autres ou avoir un impact social",Par la lecture et la recherche indépendante,Je veux aider les gens via la santé ou le travail social,Plus de 20 000€,3-5 ans,"Grenoble, Nice, Paris",Plutôt intéressé,Réputation académique
User_3,Forte préférence pour le travail d'équipe,J'évite les problèmes,Ni l'un ni l'autre,Importante,Préférence pour la prudence,Je déteste,Forte préférence pour les tâches techniques,Très bien,Peu importante,Neutre,Peu importante,J'adore ça,Bien,Très passionné,Neutre,Très mal,Très importante,Neutre,Très importante,J'adore ça,Pas du tout importante,Je déteste,Pas du tout importante,J'aime bien,Peu importante,"Peindre, dessiner ou autres arts visuels, Jardiner ou activités liées à la nature, Jouer aux jeux vidéo, Apprendre de nouvelles compétences ou langues","Langues Étrangères, Biologie/Sciences de la Terre, Informatique, Économie/Sciences Sociales, Arts (Visuels, Musique, Théâtre), Mathématiques, Histoire/Géographie, Sciences de l'Ingénieur, Littérature/Philosophie, Physique-Chimie","Ingénierie-Industrie, Travail social-ONG, Business-Management, Arts-Divertissement","Créatif et flexible (ex: studio de design, startup)","Atteindre le succès financier ou la reconnaissance, Explorer de nouvelles idées ou concepts",En groupe de manière collaborative,Je veux diriger et gérer des équipes en entreprise,15 000€ - 20 000€,Plus de 5 ans,Fort-de-France (Martinique),Pas du tout intéressé,Réputation académique
User_4,Préférence pour l'indépendance,Solutions créatives,Les deux également,Importante,Forte préférence pour les risques,Je déteste,Forte préférence pour les tâches créatives,Mal,Pas du tout importante,J'adore ça,Très importante,Je n'aime pas,Bien,Très passionné,J'adore ça,Très mal,Pas du tout importante,Très mal,Très importante,J'aime bien,Neutre,J'aime bien,Neutre,J'aime bien,Neutre,"Jouer aux jeux vidéo, Écrire (histoires, poésie, blogs, etc.), Voyager ou explorer de nouvelles cultures","Physique-Chimie, Arts (Visuels, Musique, Théâtre), Économie/Sciences Sociales, Sciences de l'Ingénieur, Langues Étrangères, Littérature/Philosophie, Mathématiques, Biologie/Sciences de la Terre, Histoire/Géographie, Informatique","Agriculture-Industrie alimentaire, Médias-Journalisme, Finance-Banque, Business-Management","Structuré et organisé (ex: bureau d'entreprise, laboratoire)","Résoudre des problèmes complexes, Explorer de nouvelles idées ou concepts",En suivant des leçons et des directives structurées,Je veux explorer de nouvelles idées par la recherche,10 000€ - 15 000€,1-3 ans,"Saint-Pierre (Saint-Pierre-et-Miquelon), Montpellier",Neutre,Coût des études
User_5,Neutre,Raisonnement logique,Applications pratiques,Peu importante,Forte préférence pour les risques,Je n'aime pas,Préférence pour les tâches créatives,Très mal,Importante,Neutre,Peu importante,Neutre,Bien,Peu passionné,J'aime bien,Très bien,Pas du tout importante,Très mal,Très importante,Neutre,Très importante,J'adore ça,Neutre,Neutre,Peu importante,Bricoler avec des gadgets ou de l'électronique,"Sciences de l'Ingénieur, Physique-Chimie, Langues Étrangères, Mathématiques, Histoire/Géographie, Biologie/Sciences de la Terre, Économie/Sciences Sociales, Informatique, Littérature/Philosophie, Arts (Visuels, Musique, Théâtre)","Ingénierie-Industrie, Science-Recherche, Technologie-IT, Business-Management, Arts-Divertissement","Structuré et organisé (ex: bureau d'entreprise, laboratoire)",Aider les autres ou avoir un impact social,En groupe de manière collaborative,Je veux aider les gens via la santé ou le travail social,10 000€ - 15 000€,Plus de 5 ans,Reims,"Oui, très intéressé","Services d'accompagnement professionnel, Réseau d'anciens élèves"
User_6,Neutre,Raisonnement logique,Applications pratiques,Peu importante,Forte préférence pour les risques,Je déteste,Préférence pour les tâches créatives,Très bien,Très importante,J'adore ça,Importante,J'aime bien,Mal,Peu passionné,Je n'aime pas,Très mal,Très importante,Neutre,Importante,Neutre,Importante,Je n'aime pas,Peu importante,Je déteste,Très importante,"Jouer aux jeux vidéo, Faire du sport ou des activités de plein air, Lire des livres, Jouer de la musique ou composer, Peindre, dessiner ou autres arts visuels","Langues Étrangères, Sciences de l'Ingénieur, Physique-Chimie, Biologie/Sciences de la Terre, Économie/Sciences Sociales, Arts (Visuels, Musique, Théâtre), Littérature/Philosophie, Informatique, Mathématiques, Histoire/Géographie","Ingénierie-Industrie, Arts-Divertissement","Extérieur ou pratique (ex: travail de terrain, construction)","Atteindre le succès financier ou la reconnaissance, Résoudre des problèmes complexes",Par la pratique et l'expérimentation,Je veux aider les gens via la santé ou le travail social,Moins de 5 000€,1-3 ans,"Nîmes, Le Havre",Pas du tout intéressé,Services d'accompagnement professionnel
User_7,Préférence pour l'indépendance,J'évite les problèmes,Idées abstraites,Pas du tout importante,Forte préférence pour la prudence,Je n'aime pas,Forte préférence pour les tâches techniques,Très bien,Importante,Neutre,Neutre,Je n'aime pas,Mal,Peu passionné,Je n'aime pas,Bien,Peu importante,Mal,Très importante,Je déteste,Très importante,Je déteste,Neutre,Je déteste,Peu importante,"Regarder des documentaires ou des vidéos éducatives, Faire du sport ou des activités de plein air, Bricoler avec des gadgets ou de l'électronique","Histoire/Géographie, Arts (Visuels, Musique, Théâtre), Sciences de l'Ingénieur, Littérature/Philosophie, Biologie/Sciences de la Terre, Mathématiques, Informatique, Économie/Sciences Sociales, Physique-Chimie, Langues Étrangères",Finance-Banque,"Structuré et organisé (ex: bureau d'entreprise, laboratoire)","Résoudre des problèmes complexes, Explorer de nouvelles idées ou concepts",Par la pratique et l'expérimentation,Je veux m'exprimer à travers l'art ou l'écriture,10 000€ - 15 000€,Plus de 5 ans,Dijon,"Oui, très intéressé",Réseau d'anciens élèves
User_8,Préférence pour le travail d'équipe,J'évite les problèmes,Applications pratiques,Neutre,Forte préférence pour les risques,Je déteste,Forte préférence pour les tâches créatives,Bien,Très importante,Je n'aime pas,Importante,Je déteste,Très mal,Neutre,Je n'aime pas,Très mal,Neutre,Bien,Importante,J'aime bien,Importante,Je n'aime pas,Très importante,J'adore ça,Peu importante,"Jouer aux jeux vidéo, Peindre, dessiner ou autres arts visuels, Voyager ou explorer de nouvelles cultures, Cuisiner ou faire de la pâtisserie, Jardiner ou activités liées à la nature","Biologie/Sciences de la Terre, Économie/Sciences Sociales, Physique-Chimie, Mathématiques, Littérature/Philosophie, Langues Étrangères, Arts (Visuels, Musique, Théâtre), Sciences de l'Ingénieur, Histoire/Géographie, Informatique","Technologie-IT, Hôtellerie-Tourisme, Ingénierie-Industrie, Science-Recherche, Médias-Journalisme","Créatif et flexible (ex: studio de design, startup)",Résoudre des problèmes complexes,En groupe de manière collaborative,Je veux atteindre le succès financier et la reconnaissance,10 000€ - 15 000€,3-5 ans,Lyon,Pas du tout intéressé,"Coût des études, Opportunités de recherche"
User_9,Forte préférence pour le travail d'équipe,Un mélange des deux,Applications pratiques,Très importante,Forte préférence pour la prudence,J'aime bien,Préférence pour les tâches techniques,Très mal,Très importante,J'aime bien,Importante,Je déteste,Bien,Très passionné,J'aime bien,Très mal,Pas du tout importante,Très bien,Peu importante,J'aime bien,Pas du tout importante,J'aime bien,Très importante,Je n'aime pas,Neutre,"Apprendre de nouvelles compétences ou langues, Faire du bénévolat ou du service communautaire, Designer (graphique, mode, intérieur, etc.), Jouer aux jeux vidéo","Arts (Visuels, Musique, Théâtre), Mathématiques, Biologie/Sciences de la Terre, Physique-Chimie, Informatique, Économie/Sciences Sociales, Littérature/Philosophie, Langues Étrangères, Histoire/Géographie, Sciences de l'Ingénieur","Travail social-ONG, Environnement-Développement durable, Finance-Banque","Structuré et organisé (ex: bureau d'entreprise, laboratoire)","Atteindre le succès financier ou la reconnaissance, Explorer de nouvelles idées ou concepts",En groupe de manière collaborative,Je veux créer des technologies innovantes,10 000€ - 15 000€,1 an ou moins,"Rennes, Marseille, Nice",Peu intéressé,"Localisation, Opportunités de recherche, Réseau d'anciens élèves"
User_10,Forte préférence pour l'indépendance,Solutions créatives,Idées abstraites,Neutre,Préférence pour la prudence,J'adore ça,Forte préférence pour les tâches techniques,Mal,Peu importante,J'adore ça,Pas du tout importante,J'aime bien,Bien,Très passionné,Je n'aime pas,Très bien,Très importante,Très bien,Pas du tout importante,J'aime bien,Importante,J'adore ça,Neutre,J'aime bien,Importante,"Designer (graphique, mode, intérieur, etc.), Jardiner ou activités liées à la nature, Jouer de la musique ou composer, Apprendre de nouvelles compétences ou langues, Voyager ou explorer de nouvelles cultures","Littérature/Philosophie, Économie/Sciences Sociales, Histoire/Géographie, Langues Étrangères, Sciences de l'Ingénieur, Arts (Visuels, Musique, Théâtre), Biologie/Sciences de la Terre, Physique-Chimie, Mathématiques, Informatique","Travail social-ONG, Business-Management","Créatif et flexible (ex: studio de design, startup)","Aider les autres ou avoir un impact social, Explorer de nouvelles idées ou concepts",En suivant des leçons et des directives structurées,Je veux diriger et gérer des équipes en entreprise,10 000€ - 15 000€,1-3 ans,"Saint-Denis (Réunion), Saint-Étienne, Fort-de-France (Martinique)",Peu intéressé,"Services d'accompagnement professionnel, Flexibilité du programme"
